Adhésion active ?;Adhérent depuis;Adhérent jusqu'au;Début de l'adhésion actuelle;Fin de l'adhésion actuelle;Ville;Code postal;Pays;Membre d'un second parti ?;A effectué la visio d'accueil ?;Statut;;;;
Oui;29/04/2024;28/04/2025;29/04/2024;28/04/2025;Piégros-la-Clastre;26400;FR;Non;Non;Adhésion à jour;;;;
Oui;08/07/2024;07/07/2025;08/07/2024;07/07/2025;Saint-Donat-sur-l'Herbasse;26260;FR;Non;Non;Adhésion à jour;;;;
Oui;04/10/2024;03/10/2025;04/10/2024;03/10/2025;Chabeuil;26120;FR;Non;Non;Première adhésion de moins d'un mois;;;;
Oui;15/01/2024;14/01/2025;15/01/2024;14/01/2025;Montélimar;26200;FR;Non;Non;Adhésion à jour;;;;
Oui;16/01/2024;15/01/2025;16/01/2024;15/01/2025;Valence;26000;FR;Non;Non;Adhésion à jour;;;;
Oui;13/10/2024;12/10/2025;13/10/2024;12/10/2025;Valence;26000;FR;Non;Non;Première adhésion de moins d'un mois;;;;
Oui;24/07/2024;23/07/2025;24/07/2024;23/07/2025;Montélimar;26200;FR;Non;Non;Adhésion à jour;;;;
Oui;24/03/2024;23/03/2025;24/03/2024;23/03/2025;Cobonne;26400;FR;Non;Non;Adhésion à jour;;;;
Non;15/06/2022;14/06/2023;;;Romans-sur-Isère;26100;FR;Non;Non;Adhésion expirée;;;;
Oui;03/09/2024;02/09/2025;03/09/2024;02/09/2025;Bourg-de-Péage;26300;FR;Non;Non;Première adhésion de moins d'un mois;;;;
Oui;15/06/2022;17/03/2025;18/03/2024;17/03/2025;Chatuzange-le-Goubet;26300;FR;Non;Non;Adhésion à jour;;;;
Non;21/06/2023;20/06/2024;;;La Coucourde;26740;FR;Non;Non;Adhésion expirée;;;;
Oui;27/01/2024;26/01/2025;27/01/2024;26/01/2025;Valence;26000;FR;Non;Non;Adhésion à jour;;;;
Oui;10/06/2024;09/06/2025;10/06/2024;09/06/2025;Triors;26750;FR;Non;Non;Adhésion à jour;;;;
Oui;09/06/2024;08/06/2025;09/06/2024;08/06/2025;Montélimar;26200;FR;Non;Non;Adhésion à jour;;;;
Oui;12/06/2024;11/06/2025;12/06/2024;11/06/2025;Valdrôme;26310;FR;Non;Non;Adhésion à jour;;;;
Oui;09/10/2024;08/10/2025;09/10/2024;08/10/2025;Valence;26000;FR;Non;Non;Première adhésion de moins d'un mois;;;;
Oui;09/06/2024;08/06/2025;09/06/2024;08/06/2025;Le Poët-Laval;26160;FR;Non;Non;Adhésion à jour;;;;
Oui;10/06/2024;09/06/2025;10/06/2024;09/06/2025;Le Grand Serre;26530;FR;Non;Non;Adhésion à jour;;;;
Oui;06/10/2024;05/10/2025;06/10/2024;05/10/2025;Montbrun-les-Bains;26570;FR;Non;Non;Première adhésion de moins d'un mois;;;;
Oui;27/09/2024;26/09/2025;27/09/2024;26/09/2025;Saint-Benoit-en-Diois;26340;FR;Non;Non;Première adhésion de moins d'un mois;;;;
Oui;05/10/2024;04/10/2025;05/10/2024;04/10/2025;Roche-Saint-Secret-Béconne;26770;FR;Non;Non;Première adhésion de moins d'un mois;;;;
Oui;29/01/2024;28/01/2025;29/01/2024;28/01/2025;26220 - Dieulefit;26220;FR;Non;Non;Adhésion à jour;;;;
Oui;10/06/2024;09/06/2025;10/06/2024;09/06/2025;Chabeuil;26120;FR;Non;Non;Adhésion à jour;;;;
Non;27/09/2023;26/09/2024;;;Roche-Saint-Secret-Béconne;26770;FR;Non;Non;Adhésion expirée;;;;
Oui;15/06/2024;14/06/2025;15/06/2024;14/06/2025;Beauvoisin;26170;FR;Non;Non;Adhésion à jour;;;;
